"trait","category","genotype_rule","result","priority"
"Skin pigmentation","Appearance","rs1426654=AA","Genetic variants in your DNA indicate an increased likelihood of having a light skin tone.","1"
"Skin pigmentation","Appearance","rs1426654=AG","Genetic variants in your DNA indicate an increased likelihood of having a medium skin tone.","1"
"Skin pigmentation","Appearance","rs1426654=GG","Genetic variants in your DNA indicate an increased likelihood of having a dark skin tone.","1"
"Eye color","Appearance","rs12913832=AA","You probably have brown eyes. This is the most common eye color globally, influenced by higher melanin levels in the iris. Maintaining eye health with regular check-ups and UV-protective sunglasses can support long-term vision.","1"
"Eye color","Appearance","rs12913832=AG","You probably have hazel or light brown eyes, maybe with some green flecks. This eye color results from a mix of melanin levels and is common in many populations. Protect your eyes from UV light and maintain a diet rich in vitamins A and C for optimal eye health.","1"
"Eye color","Appearance","rs12913832=GG","You probably have blue or grey eyes. This is due to lower melanin in the iris, a trait more common in European populations. Regular eye exams and a diet high in antioxidants can help maintain eye health.","1"
"Eye color","Appearance","rs12913832=AG AND rs1800407=TC","You probably have green eyes. This unique color arises from specific genetic combinations and is relatively rare, found in about 2% of the global population. Protect your eyes with UV-blocking sunglasses and include foods like leafy greens to support vision health.","1"
"Hair color","Appearance","rs1805007=TT","Your genetic profile suggests red hair. This rare trait, found in about 1-2% of the global population, is linked to the MC1R gene. Protect your scalp and hair from sun exposure with hats or sunscreen to reduce UV damage.","1"
"Hair color","Appearance","rs1805007=CT","Your genetic profile suggests red or strawberry blond hair. This trait is less common and may be more prevalent in certain European populations. Use gentle hair care products and protect your scalp from sun exposure to maintain hair health.","2"
"Hair color","Appearance","rs1805007=CC","Your genetic profile suggests dark brown or black hair. This is the most common hair color globally, offering natural UV protection. Regular scalp care and a balanced diet with biotin can support healthy hair growth.","3"
"Hair color","Appearance","rs1805007=CC AND rs12821256=CT","Your genetic profile suggests light brown or dark blond hair. This color is common in mixed ancestry populations. Maintain hair health with a nutrient-rich diet and avoid excessive heat styling.","4"
"Hair color","Appearance","rs12821256=TT AND rs1805007=CC","Your genetic profile suggests blond hair. This trait is more common in Northern European populations and results from lower melanin levels. Protect your scalp with sunscreen and use nourishing hair products to prevent dryness.","5"
"Hair type","Appearance","rs11803731=CC","Genetic variants in your DNA indicate an increased likelihood of straight hair. This variant is common in East Asian populations. The straight-hair version likely evolved as an adaptation to colder climates.","1"
"Hair type","Appearance","rs11803731=CT","Genetic variants in your DNA indicate an increased likelihood of wavy hair. This is a blend of the straight and curly hair variants, common in many populations and may reflect mixed ancestry. Use hydrating hair products to enhance wave definition and maintain scalp health.","1"
"Hair type","Appearance","rs11803731=TT","Genetic variants in your DNA indicate an increased likelihood of curly hair. This variant is more common in African and some European populations. Curly hair helps with thermoregulation in hot climates by keeping the scalp cooler. Use moisturizing products to prevent dryness and maintain curl health.","1"
"Baldness risk","Appearance","rs7349332=CC","You have an increased genetic risk of male pattern baldness. This trait is common in many populations and influenced by hormonal factors. Hereditary hair loss can be treated with Finasteride and Minoxidil. Ask your doctor for more information. Finasteride blocks the conversion of testosterone to DHT, a hormone that causes hair follicles to shrink. This helps slow hair loss and can even promote regrowth in men with male pattern baldness. Minoxidil increases blood flow to the scalp and stimulates hair follicles, helping to thicken existing hair and promote new growth.","1"
"Baldness risk","Appearance","rs7349332=CT","You have a moderate genetic risk of male pattern baldness. This level of risk is common and does not guarantee hair loss. Hereditary hair loss can be treated with Finasteride and Minoxidil. Ask your doctor for more information. Finasteride blocks the conversion of testosterone to DHT, a hormone that causes hair follicles to shrink. This helps slow hair loss and can promote regrowth. Minoxidil stimulates hair follicles, helping to thicken hair.","1"
"Baldness risk","Appearance","rs7349332=TT","You have a low genetic risk of female pattern baldness. While genetics play a role, lifestyle factors like stress or diet can still affect hair health. Maintain a balanced diet rich in vitamins like biotin and zinc to support strong hair.","1"
"Baldness risk","Appearance","rs7349332=CC","You have an increased genetic risk of female pattern hair loss. This trait is relatively common, particularly after menopause. FPHL can be treated with scientifically proven treatments, like topical minoxidil, which stimulates hair growth by improving blood flow to hair follicles. In some postmenopausal women, oral medications such as spironolactone or finasteride may be prescribed off-label to reduce androgen levels, but these require medical supervision.","2"
"Baldness risk","Appearance","rs7349332=CT","You have a moderate genetic risk of female pattern hair loss. This risk is common and does not guarantee significant hair loss. Topical minoxidil can help stimulate hair growth, and maintaining a nutrient-rich diet supports overall hair health. Consult a healthcare provider for personalized advice.","2"
"Baldness risk","Appearance","rs7349332=TT","You have a low genetic risk of female pattern hair loss. While your genetic risk is low, maintaining scalp health with gentle hair care products and a balanced diet can further support hair vitality.","2"
"Triglyceride level","Health","rs964184=GG","You have a genetic predisposition to elevated triglyceride levels. This means you have a higher likelihood that your body processes triglycerides (fats in the blood) less efficiently. Reducing alcohol consumption and increasing physical activity can help lower these levels.","1"
"Triglyceride level","Health","rs964184=AG","You have a moderate genetic predisposition to elevated triglyceride levels. This is a common trait, and lifestyle changes can effectively manage it. Reducing alcohol consumption, increasing physical activity, and eating a diet low in refined sugars can help maintain healthy triglyceride levels.","1"
"Triglyceride level","Health","rs964184=AA","You have a normal genetic predisposition to triglyceride levels. This means your DNA does not indicate an increased risk of inefficient triglyceride processing. However, maintaining a healthy lifestyle through regular physical activity and limited alcohol intake is still important for overall heart health.","1"
"Salt sensitivity","Diet","rs11191548=CC","You have a higher sensitivity to salt, which may affect blood pressure in some individuals. This trait is common in certain populations. Reducing sodium intake and eating potassium-rich foods like bananas and spinach can help manage blood pressure.","1"
"Salt sensitivity","Diet","rs11191548=CT","You have an average sensitivity to salt, which is typical for many people. Monitor sodium intake and maintain a balanced diet with potassium-rich foods to support healthy blood pressure.","1"
"Salt sensitivity","Diet","rs11191548=TT","You have a lower sensitivity to salt, suggesting less impact on blood pressure from sodium intake. Still, a balanced diet with moderate sodium and regular exercise supports cardiovascular health.","1"
"Blood pressure risk","Health Risks","rs16998073=AA","You have an elevated genetic risk of high blood pressure. This trait is common in many populations and does not guarantee hypertension. Regular exercise, a low-sodium diet, and stress management techniques like meditation can help maintain healthy blood pressure.","1"
"Blood pressure risk","Health Risks","rs16998073=AG","You have an average genetic risk of high blood pressure. This is a common profile, and lifestyle plays a big role. Maintain regular physical activity and a balanced diet to support cardiovascular health.","1"
"Blood pressure risk","Health Risks","rs16998073=GG","You have a low genetic risk of high blood pressure. Continue to support heart health with regular exercise, a balanced diet, and stress reduction practices.","1"
